ID Historia;Rol;Necesito;Característica / Funcionalidad;Con la finalidad de;Razón / Resultado;REDACCIÓN;# Escenario;Criterio de Aceptación (Título);ID Criterio;Contexto;Evento;Resultado / Comportamiento esperado
HU0001;Psicólogo o Docente;Necesito;iniciar sesión con mi usuario y contraseña;Con la finalidad de:;acceder a las funciones de mi rol;Como psicólogo o docente quiero iniciar sesión con mi usuario y contraseña para acceder a las funciones de mi rol;1;Inicio de sesión exitoso;HU0001-1;El usuario cuenta con credenciales válidas;Ingresa usuario y contraseña correctos y confirma;El sistema inicia sesión y muestra el menú correspondiente a su rol
HU0001;;;;;;;2;Credenciales inválidas;HU0001-2;El usuario ingresa datos incorrectos;Envía el formulario de inicio de sesión;El sistema muestra "Credenciales inválidas" y no permite el acceso
HU0001;;;;;;;3;Identificación del rol;HU0001-3;El usuario inicia sesión correctamente;El sistema valida el usuario;Muestra el rol activo (Psicólogo o Docente) en la barra lateral
HU0002;Docente;Necesito;ver únicamente las opciones que me corresponden;Con la finalidad de:;no acceder a información clínica reservada;Como docente quiero ver únicamente las opciones que me corresponden para no acceder a información clínica reservada;1;Menú restringido del docente;HU0002-1;Un docente ha iniciado sesión;Visualiza el menú lateral;No aparece la opción "Expediente Psicológico"
HU0002;;;;;;;2;Menú completo del psicólogo;HU0002-2;Un psicólogo ha iniciado sesión;Visualiza el menú lateral;Aparecen todas las opciones, incluido el expediente psicológico
HU0003;Docente;Necesito;registrar un alumno con sus datos;Con la finalidad de:;incorporarlo al sistema;Como docente quiero registrar un alumno con sus datos para incorporarlo al sistema;1;Registro exitoso de alumno;HU0003-1;El docente está en el módulo de registro de alumnos;Ingresa los datos obligatorios (nombre, edad, grado, género, contacto) y confirma;El sistema crea el alumno y lo muestra en la lista
HU0003;;;;;;;2;Validación de campos obligatorios;HU0003-2;El docente no completa todos los campos requeridos;Intenta guardar el alumno;El sistema muestra mensajes de validación indicando los campos faltantes
HU0004;Docente;Necesito;ver la lista de alumnos con su estado;Con la finalidad de:;tener una visión general del avance;Como docente quiero ver la lista de alumnos con su estado para tener una visión general del avance;1;Lista con estado;HU0004-1;Existen alumnos registrados;Abre la opción "Lista de Alumnos";Muestra cada alumno con su estado (Registrado o Con Predicción)
HU0004;;;;;;;2;Lista vacía;HU0004-2;No hay alumnos registrados;Abre la lista de alumnos;Muestra el mensaje "No hay alumnos registrados"
HU0005;Docente;Necesito;editar los datos de un alumno;Con la finalidad de:;mantener su información actualizada;Como docente quiero editar los datos de un alumno para mantener su información actualizada;1;Edición exitosa;HU0005-1;El docente abre la ventana de edición de un alumno;Modifica los datos y guarda;El sistema actualiza el alumno y muestra confirmación
HU0005;;;;;;;2;Formulario sin condición social;HU0005-2;El docente abre la ventana de edición;Visualiza el formulario;El formulario de edición no incluye el campo condición social
HU0006;Docente;Necesito;eliminar un alumno;Con la finalidad de:;depurar registros que ya no corresponden;Como docente quiero eliminar un alumno para depurar registros que ya no corresponden;1;Confirmación antes de eliminar;HU0006-1;El docente pulsa el botón Eliminar de un alumno;El sistema solicita confirmación;Solo se elimina el alumno si el docente confirma la acción
